;CO_CURSO;DS_TURNO_ALUNO;DS_COR_RAÇA_ALUNO;IN_SEXO_ALUNO;NU_ANO_ALUNO_NASC;NU_MES_ALUNO_NASC;NU_DIA_ALUNO_NASC;CO_NACIONALIDADE_ALUNO;IN_DEF_AUDITIVA;IN_DEF_FISICA;IN_DEF_SUPERDOTACAO;DS_ALUNO_SITUACAO;IN_RESERVA_VAGAS;IN_RESERVA_ETNICO;IN_RESERVA_DEFICIENCIA;IN_RESERVA_ENSINO_PUBLICO;IN_RESERVA_RENDA_FAMILIAR;IN_FINANC_ESTUDANTIL;IN_APOIO_SOCIAL;CO_TIPO_ESCOLA_ENS_MEDIO;ANO_INGRESSO
0;12317;Noturno;;0;1979;2;12;1;;;;Cursando;1;1.0;0.0;1.0;1.0;;0;1;2016
1;12317;Noturno;;0;1984;4;9;1;;;;Desvinculado do curso;1;0.0;0.0;1.0;1.0;;0;1;2014
2;12317;Noturno;;0;1990;11;23;1;;;;Cursando;1;1.0;0.0;1.0;1.0;;0;1;2014
3;12317;Noturno;;0;1982;8;31;1;;;;Desvinculado do curso;1;1.0;0.0;1.0;1.0;;0;1;2013
4;12317;Noturno;;1;1988;8;25;1;;;;Cursando;1;0.0;0.0;1.0;0.0;;0;1;2016
5;12317;Noturno;;1;1990;12;12;1;;;;Matrícula trancada;1;0.0;0.0;1.0;1.0;;0;1;2016
6;12317;Noturno;;1;1981;11;22;1;;;;Cursando;1;0.0;0.0;1.0;0.0;;0;1;2015
7;12317;Matutino;;0;1989;11;30;1;;;;Matrícula trancada;1;0.0;0.0;1.0;0.0;;0;1;2015
8;12317;Noturno;;0;1983;11;5;1;;;;Cursando;1;1.0;0.0;1.0;1.0;;0;1;2015
9;12317;Noturno;;1;1989;12;13;1;;;;Cursando;1;1.0;0.0;1.0;0.0;;0;1;2016
10;12317;Noturno;;1;1990;1;19;1;;;;Matrícula trancada;0;;;;;;0;0;2016
11;12317;Noturno;;0;1989;2;14;1;;;;Cursando;0;;;;;;0;0;2014
12;12317;Matutino;;0;1991;8;17;1;;;;Formado;0;;;;;;0;0;2010
13;12317;Noturno;;1;1988;11;7;1;;;;Formado;0;;;;;;0;0;2012
14;12317;Noturno;;1;1984;12;29;1;;;;Cursando;0;;;;;;0;0;2014
15;12317;Matutino;;0;1985;6;13;1;;;;Formado;0;;;;;;0;0;2010
16;12317;Noturno;;0;1985;6;20;1;;;;Cursando;1;1.0;0.0;1.0;0.0;;0;1;2016
17;12317;Noturno;;1;1988;2;25;1;;;;Cursando;0;;;;;;0;0;2014
18;12317;Matutino;;0;1979;1;31;1;;;;Cursando;0;;;;;;0;0;2014
19;12317;Noturno;;0;1985;8;22;1;;;;Cursando;1;1.0;0.0;1.0;1.0;;0;1;2014
20;12317;Matutino;;0;1989;2;14;1;;;;Cursando;0;;;;;;0;0;2013
21;12317;Noturno;;0;1969;8;27;1;;;;Cursando;0;;;;;;0;0;2015
22;12317;Noturno;;0;1978;11;20;1;;;;Cursando;1;0.0;0.0;1.0;0.0;;0;1;2015
23;12317;Noturno;;0;1973;7;6;1;;;;Desvinculado do curso;0;;;;;;0;0;2014
24;12317;Noturno;;0;1981;4;13;1;;;;Desvinculado do curso;1;0.0;0.0;1.0;1.0;;0;1;2015
25;12317;Noturno;;0;1981;10;10;1;;;;Cursando;0;;;;;;0;0;2012
26;12317;Noturno;;1;1990;3;17;1;;;;Matrícula trancada;1;1.0;0.0;1.0;0.0;;0;1;2014
27;12317;Noturno;;0;1988;12;30;1;;;;Cursando;0;;;;;;0;0;2014
28;12317;Noturno;;0;1984;8;29;1;;;;Cursando;0;;;;;;0;0;2011
29;12317;Noturno;;1;1986;5;1;1;;;;Cursando;0;;;;;;0;0;2013
30;12317;Noturno;;0;1982;6;27;1;;;;Cursando;1;1.0;0.0;1.0;1.0;;0;1;2015
31;12317;Noturno;;0;1987;7;28;1;;;;Matrícula trancada;0;;;;;;0;0;2009
32;12317;Noturno;;1;1991;1;10;1;;;;Cursando;1;1.0;0.0;1.0;0.0;;0;1;2015
33;12317;Matutino;;0;1981;12;3;1;;;;Cursando;1;1.0;0.0;1.0;1.0;;0;1;2014
34;12317;Noturno;;1;1951;8;4;1;;;;Cursando;0;;;;;;0;0;2009
35;12317;Noturno;;0;1988;1;29;1;;;;Formado;0;;;;;;0;0;2010
36;12317;Noturno;;0;1990;4;7;1;;;;Cursando;1;1.0;0.0;1.0;1.0;;0;1;2016
37;12317;Noturno;;1;1987;8;27;1;;;;Cursando;0;;;;;;1;0;2014
38;12317;Matutino;;0;1983;9;19;1;;;;Cursando;1;0.0;0.0;1.0;1.0;;0;1;2015
39;12317;Noturno;;1;1987;12;17;1;;;;Formado;1;1.0;0.0;1.0;1.0;;0;1;2014
40;12317;Noturno;;0;1989;2;12;1;;;;Formado;0;;;;;;0;0;2011
41;12317;Noturno;;1;1990;11;26;1;;;;Formado;0;;;;;;0;0;2010
42;12317;Noturno;;1;1983;7;21;1;;;;Formado;0;;;;;;0;0;2011
43;12317;Noturno;;0;1978;7;29;1;;;;Matrícula trancada;0;;;;;;0;0;2013
44;12317;Noturno;;0;1970;4;28;1;;;;Cursando;0;;;;;;0;0;2015
45;12317;Matutino;;1;1987;6;23;1;;;;Formado;0;;;;;;0;0;2009
46;12317;Noturno;;0;1991;12;30;1;;;;Cursando;0;;;;;;0;0;2013
47;12317;Noturno;;0;1960;5;3;1;;;;Cursando;0;;;;;;0;0;2010
48;12317;Noturno;;0;1980;8;30;1;;;;Cursando;0;;;;;;0;0;2014
49;12317;Noturno;;0;1989;3;24;1;;;;Cursando;0;;;;;;0;0;2016
50;12317;Noturno;;0;1987;7;27;1;;;;Formado;0;;;;;;0;0;2011
51;12317;Matutino;;0;1978;4;4;1;;;;Cursando;1;1.0;0.0;1.0;1.0;;1;1;2015
52;12317;Noturno;;0;1975;11;21;1;;;;Cursando;0;;;;;;0;0;2015
53;12317;Noturno;;0;1976;9;21;1;;;;Cursando;0;;;;;;0;0;2009
54;12317;Noturno;;0;1980;7;2;1;;;;Formado;0;;;;;;0;0;2009
55;12317;Noturno;;0;1981;9;14;1;;;;Matrícula trancada;0;;;;;;0;0;2009
56;12317;Noturno;;0;1981;7;23;1;;;;Cursando;1;1.0;0.0;1.0;0.0;;0;1;2016
57;12317;Noturno;;1;1976;12;20;1;;;;Matrícula trancada;0;;;;;;0;0;2007
58;12317;Noturno;;0;1984;11;8;1;;;;Cursando;0;;;;;;0;0;2013
59;12317;Noturno;;0;1983;11;3;1;;;;Cursando;0;;;;;;0;0;2013
60;12317;Noturno;;0;1967;6;29;1;;;;Cursando;1;1.0;0.0;1.0;1.0;;0;1;2016
61;12317;Matutino;;1;1990;10;11;1;;;;Cursando;0;;;;;;0;0;2015
62;12317;Noturno;;0;1988;12;16;1;;;;Matrícula trancada;1;1.0;0.0;1.0;1.0;;0;1;2015
63;12317;Noturno;;0;1984;11;30;1;;;;Matrícula trancada;0;;;;;;0;0;2008
64;12317;Noturno;;0;1991;3;19;1;;;;Formado;0;;;;;;0;0;2011
65;12317;Matutino;;0;1978;2;1;1;;;;Cursando;0;;;;;;0;0;2008
66;12317;Noturno;;0;1979;5;6;1;;;;Cursando;1;1.0;0.0;1.0;1.0;;0;1;2013
67;12317;Matutino;;0;1990;10;1;1;;;;Cursando;0;;;;;;0;0;2015
68;12317;Noturno;;0;1988;11;18;1;;;;Formado;0;;;;;;0;0;2008
69;12317;Noturno;;0;1986;4;23;1;;;;Desvinculado do curso;0;;;;;;0;0;2009
70;12317;Noturno;;0;1990;4;17;1;;;;Matrícula trancada;0;;;;;;0;0;2010
71;12317;Noturno;;0;1990;6;7;1;;;;Cursando;0;;;;;;0;0;2013
72;12317;Noturno;;1;1990;8;4;1;;;;Cursando;1;0.0;0.0;1.0;1.0;;1;1;2016
73;12317;Noturno;;0;1989;4;19;1;;;;Cursando;0;;;;;;0;0;2014
74;12317;Noturno;;0;1988;11;20;1;;;;Cursando;1;0.0;0.0;1.0;0.0;;0;1;2015
75;12317;Noturno;;1;1989;7;14;1;;;;Cursando;0;;;;;;0;0;2015
76;12317;Noturno;;0;1991;2;6;1;;;;Cursando;0;;;;;;0;0;2015
